Species ,Intermediate_Paratenic_hosts,Definitive_host,LCL_long,LCL_short,Facultative,Min_TL,Max_TL,Avg_TL
Spirocamallanus fulvidraconis,Copepods (first intermediate),Fish: Tachysurus/Pseudopaguis fulvidraco,2,2,None,3,4,3.2
Procamallanus laeviconchus,Copepods (first) Gambusia affinis (paratenic),"Fish, esp. silurioid catfish",3,2,Middle,3,4,3.2
Pseudophysaloptera vincenti, Earwigs (first intermediate),Lemur,2,2,None,2,3,2.5
Skrjabinoptera phrynosoma,Ants (first intermediate),Texas horned toads (reptile),2,2,None,3,3,3
Thubunaea baylisi,Beetles (first intermediate),Lizards,2,2,None,3,3,3
Abbreviata caucasica,"Cockroaches, grasshoppers", Black mangabey (Cercocebus aterrimus),2,2,None,2,3,2.5
Abbreviata kazachstanica,"Beetles (first) frogs, geckos (paratenic)",European Legless Lizard: Ophisaurus aphodus,2,3,Middle,3,4,3.5
Physaloptera hispida,"Ground beetles, earwigs, cockroaches (first)",Cotton rat,2,2,None,2,3,2.5
Physaloptera maxillaris,"Crickets (first) Frogs, garter snakes (paratenic)",Skunk,3,2,Middle,2,4,3
Physaloptera praeputialis,"Cockroaches, crickets (first) reptiles and small mammals (paratenic)",Cats,3,2,Middle,3,4,3.5
Physaloptera rara,"Cockroaches, beetles, crickets (first) rattlesnakes (second)","Coyotes (also dogs, foxes and cats)",3,2,Middle,2,4,3.5
Turgida turgida,"Cockroaches, crickets (first) reptiles, amphibia and small mammals (paratenic?)",Opossums,3,2,Middle,2,4,3
Streptocara crassicauda,Amphipods (first) varous fish (paratenic),"Anatidae, but also predatory ducks",3,2,Middle,2,4,2.5
Ancyracanthopsis winegardi,Fiddler crabs (first intermediate),Shore waders,2,2,None,3,3,3
Cheilospirura spinosa,Grasshoppers (first intermediate),Grouse and quail,2,2,None,2,3,2.5
Cosmocephalus obvelatus,Amphipods (first) various fishes (paratenic),"Piscivorous birds, mainly Laridae",3,2,Middle,3,4,3.5
Dispharynx nasuta,Terrestrial isopods (first intermediate),Gallinaceous and passerine birds,2,2,None,2,3,2.5
Echinuria uncinata,"Daphnids, amphipods, isopods, ostracods (first intermediate)",Anatidae ,2,2,None,2,3,2.5
Paracuaria adunca,Amphipods (first) various fish (paratenic),Piscivorous birds,3,2,Middle,3,4,3.5
Skrjabinocerca americana,"Amphipod, Hyalella aztica (first intermediate)",Charadriiformes,2,2,None,2,4,3
Skrjabinocerca prima,Orchestia ochotensis (Amphipod) (first intermediate),"Charadriidae, Alcedinidae, Emberrizidae, Montacillidae, Troglodytidae, Cuculidae",2,2,None,2,4,3
Syncuaria squamata,Ostracods (first) various fish (paratenic),Phalacrocoracidae (cormorants),3,2,Middle,3,4,3.5
Desportesius brevicaudatus,Anax spp. Larvae (first) various fish (paratenic),"Bittern (Botaurus stellaris), Little Bittern (Ixobrynchus minutus)",3,2,Middle,3,4,3.5
Desportesius invaginatus,Ostracods (first) tadpoles (second),Cattle egrets (Bubulus ibis),3,2,Middle,3,4,3.5
Skrjabinoclava inornatae,Fiddler crabs (first intermediate),"Western willets,  Catoptrophorus semipalmatus",2,2,None,2,3,2.5
Skrjabinoclava morrisoni,Chorophium volutator (amphipod) (first intermediate),Semipalmated sandpipers Calidris pucilla,2,2,None,2,3,3
Acuaria anthuris,Locusta migratoria (first intermediate),Corvids Pica and Garrulus,2,2,None,2,4,3
Acuaria depressa,Malanoplus femurrubrum and other crickets (first intermediate),Corvids,2,2,None,2,4,3
Acuaria gruveli,Tylotropidus patagiatus (Acrididae) (first intermediate),Frankolinus bicalcaratus (Frankolin),2,2,None,2,3,2.5
Acuaria hamulosa,"Grasshoppers, other orthopterans, beetles (first intermediate)",Chickens and turkeys,2,2,None,2,3,2.5
Capillospirura pseudoargumentosa,Gammarus fasciatus & G. tigrinus (first intermediate),Acipenser brevirostum,2,2,None,3,3,3.3
Salvelinema salmonicola,Gammarus spp (first intermediate),Pacific salmonids,2,2,None,3,4,4.4
Salvelinema walkeri,Ramellogammarus vancouverensis (first intermediate),Pacific salmonids,2,2,None,3,4,3.7
Cystidicola farionis,Amphipods (first intermediate),"Coregonid fish, Oncorhynchus, Salmo trutta. Osmerus mordax",3,2,Last,3,4,3.7875
Cystidicola stigmatura,Mysis relicta (first intermediate),"Salvelinus spp (Brook trout, etc.)",2,2,None,3,4,3.9
Cystidicoloides tenuissima,"Mayfly nymphs (first)  Minnows, loach (paratenic)",Salmonids,3,2,Middle,3,4,3.566666667
Ascarophis marina,decapod shrimp,Parona signata and Urophicis brasiliensis (fish),2,2,None,3,4,3.6
Ascarophis morrhuae,Marine decapods (first intermediate),Gadoid fish like cod and haddock,2,2,None,3,5,4.25
Ascarophis pacificus,"Marine amphipods, isopods, decapods (first intermediate)","Various benthic-feeding fish, but also piscivorous like cod (Raja smirnovi, Pleurogrammus azonus, Myoxocephalus brandti, Gymnacanthus herzensteini, Alcichthus elongatus, Liparis sp., Stichaeus grigorjewi, Gadus morhua, Eleginus navaga and Theragra chalcog",2,2,None,3,4,3.866666667
Ascarophis arctica,Gammarids (can become mature in Gammarus oceanicus),"Four-horn sculpin, Myoxocephalus quadricornis",2,1,Last,3,4,3.7
Spinitectus carolini,"Mayfly nymphs, larval Plecoptera and Diptera (first)",Freshwater fishes (Trophic transfer may occur between fishes),3,2,Last,3,4,3.3
Spinitectus gracilis,"Mayfly nymphs, odonatans, plecopterans, f.w. collembolan (first) Lepomis cyanellus fish (paratenic)",Freshwater fishes and amphibians (Trophic transfer may occur between fishes),3,2,Last,3,4,3.3
Spinitectus inermis,Mayfly nymphs,Eels,2,2,None,3,4,3.5
Spinitectus micracanthus,Mayfly nymphs (Hexagenia spp.) (first intermediate),Lepomis macrochirus (Bluegill Sunfish),2,2,None,3,4,3.2
Spinitectus ranae,Freshwater shrimp (Paratya compressa improvisa) (first intermediate),"Cynops pyrrhogaster (Japanese firebelly newt), Rana spp.",2,2,None,3,3,3
Rhabdochona canadensis,Ephemeropteran nymphs (first intermediate),Fish: Cyprinella lutrensis,2,2,None,2,3,2.8
Rhabdochona cascadilla,Ephemeropteran nymphs (first intermediate),Fish: Notropis cornutus,2,2,None,2,3,2.3
Rhabdochona denudata,Ephemeropteran nymphs (first intermediate),Fish: Leuciscus cephalus (chub),2,2,None,2,3,3
Rhabdochona ergensi,Ephemeropteran nymphs (first intermediate),Fish: Noemacheilus barbatulus,2,2,None,3,3,3.2
Rhabdochona hellichi,Trichopteran larvae (first intermediate),Fish: Barbus barbus,2,2,None,3,3,3.1
Rhabdochona kidderi,Ephemeropteran nymphs (first intermediate),Fish: Cichlasoma cyanoguttatum,2,2,None,2,3,2.9
Rhabdochona phoxini,Ephemeropteran nymphs (first intermediate),Fish: Phoxinus phoxinus,2,2,None,3,3,3.1
Rhabdochona rotundicaudatum,Ephemeropteran nymphs (first intermediate),Fish: Notropis cornutus,2,2,None,2,3,2.3
Rhabdochona zacconis,Ephemeropteran nymphs ?,Fish: Tribolodon hakonensis,2,2,None,2,3,2.8
Hedruris androphora,Asellus aquaticus (first intermediate),Urodela,2,2,None,3,4,3
Hedruris ijimai,Asellus hilgendorfi (first intermediate),Rana sp.,2,2,None,3,4,3
Procyrnea zorillae,"Tenebrionid beetles (first) Reptiles, hedgehogs (paratenic)",Owls,3,2,Middle,3,4,3.5
Sicarius dipterum,"Beetles Asidia sp.,  Phylan abbreviatus, Tentyria mucronatus (first intermediate)",Hoopoe,2,2,None,2,3,3
Cyrnea colini,"Blatella germanica, nymphs of Malanoplus femurrubrus (first intermediate)",Phasianidae,2,2,None,2,3,2.5
Cyrnea eurycerca,Acridid: Tylotropidius patagiatus (first intermediate),Frankolinus bicalcaratus (Phasianidae),2,2,None,2,3,2.5
Cyrnea mansioni,Acridid: Tylotropidius patagiatus (first) Toads (paratenic),"Falconiforms Milvus migrans, Accipites badius and others ",3,2,Middle,3,4,3.5
Dicheilonema rheae,"Acrida turrita, Calliptamus barbatus (first intermediate)",Rhea americana,2,2,None,2,3,2
Quadriplotriaena hypsokysta,Grasshopper Aeropedellus clavatus (first intermediate),Meadowlarks Sturnella sp.,2,2,None,2,3,2.5
Serratospiculum tendo,"Geotrupes sylvaticus, Locusta migratorius (first intermediate)",Falcons,2,2,None,3,4,3.5
Diplotriaena agelaeus,Grasshopper Camnula pellucida (intermediate),Icteridae e.g. Quiscalus quiscula,2,2,None,2,3,2.5
Diplotriaena bargusinica,"Grasshoppers Melanoplus bilituratus, M. fasciatus, Camnula pellucida (intermediate)",Thrushes Turdidae,2,2,None,2,3,2.5
Diplotriaena tricuspis,Grasshopper Meloplus sanguinipes (first intermediate),American crow Corvus brachyrhynchos,2,2,None,2,4,3
Diplotriaena tridens,Locusta migratoria (first intermediate),Sylvia atricapilla,2,2,None,2,3,2.5
Microtetrameres centuri,Grasshoppers (first intermediate),Meadowlarks,2,2,None,2,3,2.5
Microtetrameres corax,Grasshoppers (first intermediate),Magpies,2,2,None,2,4,3
Microtetrameres helix,Grasshoppers (first intermediate),Corvidae,2,2,None,2,4,3
Microtetrameres inermis,Orthoperans (first intermediate),African weaver finch,2,2,None,2,3,2.5
Tetrameres americana,Grasshoppers (first intermediate),"Chickens, Bobwhite quail",2,2,None,2,3,2.5
Tetrameres cardinalis,Locusta migratoria (first intermediate),Northern cardinal Cardinalis cardinalis,2,2,None,2,3,2.5
Tetrameres confusa,Grasshoppers (first intermediate),Chickens,2,2,None,2,3,2.5
Tetrameres crami,Hyalella azteca and Gammarus fasciatus (first intermediate),Ducks,2,2,None,2,3,2.5
Tetrameres mohtedai,"Grasshoppers, terrestrial isopods (first intermediate)",Chckens,2,2,None,2,3,2.5
Tetrameres pattersoni,Grasshoppers (first intermediate),Bobwhite quail,2,2,None,2,3,2.5
Hartertia gallinarum,Termites (first intermediate),Fowl,2,2,None,2,3,2.5
Oxyspirura mansoni,Cockroach Pycnoscalus surinamensis (first intermediate),Poultry and wild birds,2,2,None,2,3,2.5
Trichospirura leptostoma,Cockroaches (first intermediate),"small New World monkeys like marmosets and tamarins (Callithrix jacchus,Sanguinus oedipus, Callicebus moloch, Saimiri sciureus, Aotus trivirgatus, Callimaco goeldi)""",2,2,None,2,3,2.5
Protospirura muricola,Cockroaches (first intermediate),Rats,2,2,None,2,3,2.5
Spirura infundibuliformis,"Grasshoppers, crickets (first intermediate)",Ground squirrels,2,2,None,2,3,2.5
Spirura malayensis,Cockroach: Blatella germanica (first intermediate),"Slow Loris, Tree shrrews",2,2,None,2,3,2.5
Spirura rytipleurites,Cockroach: Periplaneta orientalis (first intermediate),"Cat, hedgehog",2,2,None,2,4,3
Spirura talpae,Rose chafer cetonia aurata (first intermediate),European mole,2,2,None,3,4,3
Mastophorus muris,"Flour beetles, fleas (first intermediate)",Microtid & Murid Rodents,2,2,None,2,3,2.5
Spirocerca lupi,"Beetles, dragonfly (first) Hedgehog, mice, chickens, equines, lizards (paratenic)","Dogs, foxes, jackals, wolves",3,2,Middle,2,4,3.5
Vigisospirura potekhina,Beetles (first intermediate),Carnivores,2,2,None,2,4,3
Ascarops strongylina,"Beetles (first) Frogs, lizards, snakes, small mammals (paratenic)","Wild & domestic pigs, lagomorphs, guinea pigs, cattle",3,2,Middle,2,4,2.5
Physocephalus sexalatus,"Beetle larvae (first) amphibians, reptiles, birds & mammals (paratenic)","Wild & domestic pigs, lagomorphs, tapirs, equines, cattle",3,2,Middle,2,4,2.5
Simondsia paradoxa,"Beetles (first) Frogs, small mammals (paratenic)",Pigs,3,2,Middle,2,4,2.5
Streptopharagus kutassi,Beetles (first intermediate),"Ground squirrels, hamsters, gerbils",2,2,None,2,3,2.5
Streptopharagus pigmentatus,Beetles (first intermediate),Old World Monkeys,2,2,None,2,3,2.5
Gongylonema congolense,Locusta migratoria (first intermediate),Ducks and gallinaceous birds,2,2,None,2,3,2.5
Gongylonema dupuisi,Dermapteran: Anisolabis annulipes (first intermediate),Mouse: Mastomys sp.,2,2,None,2,3,2.5
Gongylonema inguvicola,Cockroach: Blatella germanica (first intermediate),Chickens & Mountian quail,2,2,None,2,3,2.5
Gongylonema mucronatum,Locusta migratoria (first intermediate),Tunisian hedgehog: Erinaceum algirus,2,2,None,2,4,3
Gongylonema neoplasticum,"Cockroaches, beetles (first intermediate)",Rats,2,2,None,2,3,2.5
Gongylonema problematicum,Beetle: Blaps sp. (first intermediate),Gerbils,2,2,None,2,3,2.5
Gongylonema pulchrum,"Many beetles, cockroaches (first intermediate)","Cattle, sheep, goats, pigs, camels, equines, cervids",2,2,None,2,3,2
Gongylonema soricis,Cockroach: Periplaneta orientalis (first intermediate),Insectivores,2,2,None,2,3,3
